Pincode,Taluk,Area
670571,Taliparamba,Alakode
670571,Taliparamba,Alakode kuttaramba
670008,Kannur,Alavil
670331,Kannur,Anchampeedika
670612,Thalassery,Anjarakandy
670307,Taliparamba,Annur
670582,Taliparamba,Arang
670582,Taliparamba,Areekamala
670143,Taliparamba,Aril
670571,Taliparamba,Arivilanjapoyil
670561,Kannur,Aroli
670006,Kannur,Attadappa
670009,Kannur,Azhikkal
670009,Kannur,Azhikode
670009,Kannur,Azhikode South
670622,Kannur,Bavode
670013,Kannur,Burnacherry
670621,Kannur,Chala East
670014,Kannur,Chalad
670633,Taliparamba,Chamathachal
670633,Taliparamba,Chandanakampara
670592,Taliparamba,Chattuvapara
670592,Taliparamba,Chekkikulam
670604,Taliparamba,Cheleri
670631,Taliparamba,Chempanthotty
670632,Taliparamba,Chemperi
670631,Taliparamba,Chengalayi
670581,Taliparamba,Chepparapadava
670631,Taliparamba,Cherikode
670301,Kannur,Cherukunnu
670601,Taliparamba,Cherupazhassi
670511,Taliparamba,Cherupuzha
670011,Kannur,Chirakkal
670502,Taliparamba,Chithapilapoyil
670571,Taliparamba,Chittodi
670006,Kannur,Chovva
670511,Taliparamba,Chunda
670632,Taliparamba,Chundakunnu
670142,Taliparamba,Chuzhali
670002,Kannur,Civil Station Kannur
670353,Taliparamba,CRPF Camp Aravanchal
670591,Kannur,Eachur
670581,Taliparamba,Edakkom
670327,Kannur,Edat
670511,Taliparamba,Edavaramba
670595,Thalassery,Edayannur
670595,Thalassery,Elampara
670307,Taliparamba,Eramam Desom
670306,Kannur,Eriam
670632,Taliparamba,Eruvassi
670581,Taliparamba,Eruvatty chapparapadava
670308,Taliparamba,Ettikulam
670521,Taliparamba,Ettukudukka
670309,Taliparamba,Ezhilode
670310,Taliparamba,Ezhimala Naval Academy
670334,Kannur,Ezhome
670301,Kannur,Irinavu
670613,Kannur,Iriveri
670593,Taliparamba,Irukkur
670511,Taliparamba,Josegiri
670621,Kannur,Kadachira
670504,Taliparamba,Kadannapally
670631,Taliparamba,Kaithapram
670306,Taliparamba,Kakkara
670005,Kannur,Kakkat
670593,Taliparamba,Kalliad
670562,Kannur,Kalliasseri
670511,Taliparamba,Kanamvayal
670307,Taliparamba,Kanayi
670602,Taliparamba,Kandakai
670307,Taliparamba,Kandankali
670307,Taliparamba,Kandoth
670142,Taliparamba,Kanhirangad
670592,Kannur,Kanhirode
670633,Taliparamba,Kanjirakolly
670307,Taliparamba,Kankol
670604,Kannur,Kannadiparamba
670012,Kannur,Kannookara
670003,Kannur,Kannur City
670017,Kannur,Kannur District Hospital
670001,Kannur,Kannur
670001,Kannur,Kannur Railway Station
670012,Kannur,Kannur Thana
670567,Kannur,Kannur University Campus
670562,Taliparamba,Kanul
670006,Kannur,Kappad
670308,Taliparamba,Karanthat
670142,Taliparamba,Karimbam
670581,Taliparamba,Karippal
670521,Taliparamba,Karivellur
670571,Taliparamba,Karthikapuram
670571,Taliparamba,Karuvanchal
670003,Kannur,Katalayi
670011,Kannur,Kattampally
670307,Taliparamba,Kavvayi
670632,Taliparamba,Kayalampara
670602,Taliparamba,Kayaralam
670301,Kannur,Keezhara
670612,Thalassery,Kezhallur
670007,Kannur,Kizhunna
670307,Taliparamba,Kokkanisseri
670601,Taliparamba,Kolacherry
670592,Thalassery,Koodali
670631,Taliparamba,Kootumugham
670581,Taliparamba,Kooveri
670307,Taliparamba,Korom
670005,Kannur,Kottali
670571,Taliparamba,Kottayad
670334,Kannur,Kottila
670309,Kannur,Kovvapuram
670142,Taliparamba,Koyyam
670621,Kannur,Koyyode
670511,Taliparamba,Kozhichal
670521,Taliparamba,Kozhummal
670582,Taliparamba,Kudiyanmala
670309,Taliparamba,Kunhimangalam
670632,Taliparamba,Kuniyampuzha
670521,Taliparamba,Kuniyan
670502,Taliparamba,Kuppam taliparamba
670142,Taliparamba,Kurumathur
670593,Taliparamba,Kusavanvayal
670562,Taliparamba,Kuttikol
670602,Taliparamba,Kuttiyattur
670142,Taliparamba,Kuttiyeri
670306,Taliparamba,Kuttur
670304,Taliparamba,Madayi
670622,Kannur,Makreri
670631,Taliparamba,Malapattam
670611,Kannur,Mamba
670571,Taliparamba,Manakadavu
670582,Taliparamba,Mandalam
670501,Taliparamba,Mandur kannur
670306,Kannur,Mathamangalam
670306,Taliparamba,Mathamangalam Bazar
670307,Taliparamba,Mathil
670325,Kannur,Mattul North
670302,Kannur,Mattul
670622,Kannur,Mavilayi
670602,Taliparamba,Mayyil
670331,Taliparamba,Morazha
670331,Kannur,Mottammal
670613,Kannur,Mowancheri
670602,Taliparamba,Mullakodi
670622,Kannur,Mundalur
670594,Kannur,Mundayad
670591,Kannur,Munderi
670612,Kannur,Muringeri
670142,Taliparamba,Muyyam
670611,Kannur,Muzhappala
670582,Taliparamba,Naduvil
670563,Taliparamba,Nanichery
670601,Kannur,Narath
670504,Taliparamba,Nareekamvally
670631,Taliparamba,Nediyenga
670631,Taliparamba,Nedungome
670632,Taliparamba,Nellikutty
670571,Taliparamba,Nellipara
670307,Taliparamba,Nhekly
670306,Taliparamba,Olayampadi
670301,Kannur,Othayammadom
670571,Taliparamba,Ottathai
670581,Taliparamba,Padappangad
670307,Taliparamba,Padiotchal
670305,Taliparamba,Palakkode
670004,Kannur,Pallikunnu
670142,Taliparamba,Pallivayal
670306,Taliparamba,Panapuzha
670142,Taliparamba,Panniyur
670561,Kannur,Pappinisseri
670561,Kannur,Pappinisseri West
670563,Taliparamba,Parassinikadavu
670503,Kannur,Pariyaram Medical College
670502,Taliparamba,Pariyaram kannur
670571,Taliparamba,Pathampara
670595,Thalassery,Pattanur
670143,Taliparamba,Pattuvam
670602,Taliparamba,Pavanoormotta
670358,Kannur,Payangadi R S
670303,Taliaparamba,Payangadi
670001,Kannur,Payyambalam
670307,Taliparamba,Payyan R.S.
670633,Taliparamba,Payyavur
670633,Taliparamba,Pazhassikari
670307,Taliparamba,Peringome
670593,Taliparamba,Peruvalathuparamba
670504,Taliparamba,Pilathara
670621,Kannur,Poduvachery
670306,Taliparamba,Porakunnu
670582,Taliparamba,Pottampilavu
670511,Taliparamba,Prapoyil
670582,Taliparamba,Pulikurumba
670308,Taliparamba,Ramanthali
670571,Taliparamba,Rayarom
670631,Taliparamba,Sreekandapuram
670303,Taliparamba,Sreestha
670002,Kannur,Talap Kannur
670141,Taliparamba,Taliparamba
670511,Taliparamba,Thabore
670581,Taliparamba,Thadikadavu
670511,Taliparamba,Thattummal
670301,Kannur,Thavam
670003,Kannur,Thayyil
670018,Kannur,Thazhe Chovva
670301,Kannur,Thekkumbad
670571,Taliparamba,Therthally
670581,Taliparamba,Thimiri chepparapadava
670511,Taliparamba,Thirumeni
670502,Taliparamba,Thiruvattoor
670007,Kannur,Thottada
670141,Taliparamba,Thrichambaram
670571,Taliparamba,Udayagiri
670308,Taliparamba,Vadakkumbad ramanthali
670010,Kannur,Valapattanam
670594,Kannur,Varam
670582,Taliparamba,Vayattuparamba
670571,Taliparamba,Vellad
670306,Taliparamba,Vellora
670307,Taliparamba,Vellur
670612,Thalassery,Vengad
670305,Kannur,Vengara kannur
670571,Taliparamba,Vijayagiri
670504,Taliparamba,Vilayancode
670650,Thalassery,Alacherry
670651,Thalassery,Ambayathode
670701,Thalasseery,Ambilat
670706,Thalassery,Angadikadavu
670672,NA,Aniyaram
670705,Taliparamba,Arabi
670704,Thalassery,Aralam
670673,Thalassery,Aralam Farm
670674,Thalassery,Atakkathode
670643,Thalassery,Ayithara Mambram
670102,Thalassery,Chalil
670694,Thalassery,Champad
670706,Thalassery,Charal
670702,Thalassery,Chavasseri
670692,Thalassery,Chendayad
670104,Thalassery,Cherakkara
670693,Thalassery,Cheruparamba
670650,Thalassery,Cheruvancheri
670674,Thalassery,Chettiamparamba
670650,Thalassery,Chittariparamba
670672,NA,Chokli
670651,Thalassery,Chunkakunnu
670106,Thalasery,Dharmadam
670704,Thalassery,Edapuzha
670692,Thalassery,Elangot
670107,Thalassery,Eranholi
670642,Thalassery,Eruvatty
670663,Kannur,Etakkad
670703,Thalassery,Iritty
670706,Thalassery,Kacherikadavu
670663,Kannur,Kadambur kannur
670676,Thalassery,Kadavathur
670642,Thalassery,Kadirur tly
670673,Thalassery,Kakkengad
670705,Taliparamba,Kalanki
670693,Thalassery,Kallikandy
670703,Taliparamba,Kalluvayal
670702,Thalassery,Kanhileri
670674,Thalassery,Kanichar
670650,Thalassery,Kannavam Colony
670650,Thalassery,Kannoth
670702,Thalassery,Kara Peravoor
673316,Thalassery,Kariyad South
670649,Thalassery,Kavumbhagam
670702,Thalassery,Kayani
670702,Thalassery,Keecheri
670704,Thalassery,Keezhpalli
670703,Thalassery,Keezhur iritty
670674,Thalassery,Kelakam
670675,Thalassery,Kidanhi
670706,Thalassery,Kiliyanthara
670642,Thalassery,Kizhakke Kadirur
