Pincode,Taluk,Area
673586,Kozhikode,Adivaram Pudupadi
673602,Kozhikode,Alli
673603,Kozhikode,Anakampoyil
673028,Kozhikode,Arakinar
673572,Kozhikode,Avilora
673015,Kozhikode,Beypore North
673015,Kozhikode,Beypore
673018,Kozhikode,Calicut Arts & Science College
673032,Kozhikode,Calicut Beach
673020,Kozhikode,Calicut Civil Station
673020,Kozhikode,Calicut Collectorate
673032,Kozhikode,Calicut Courts
673001,Kozhikode,Calicut
673008,Kozhikode,Calicut Medical College
673001,Kozhikode,Calicut R.S.
673002,Kozhikode,Chalapuram
673301,Kozhikode,Chaliyam
673573,Kozhikode,Chamal
673601,Kozhikode,Chathamangalam
673616,Kozhikode,Chelannur
673571,Kozhikode,Chelavur
673580,Kozhikode,Chembu Kadavu
673602,Kozhikode,Chennamangallur
673661,Kozhikode,Cherooppa
673008,Kozhikode,Cherukulathur
673661,Kozhikode,Cheruvadi
673655,Kozhikode,Cheruvannur
673017,Kozhikode,Chevarambalam
673017,Kozhikode,Chevayur
673601,Kozhikode,Chulur
673008,Kozhikode,Devagiri College
673005,Kozhikode,East Hill
673005,Kozhikode,Edakkad West Hill
673616,Kozhikode,Edakkara Quilandy
673303,Kozhikode,Elathur Kozhikode
673572,Kozhikode,Elettil
673303,Kozhikode,Eranhikkal
673006,Kozhikode,Eranhipalam
673585,Kozhikode,Eravannur
673632,Kozhikode,Farook College
673631,Kozhikode,Feroke Pettah
673631,Kozhikode,Feroke
673016,Kozhikode,Govinda Puram
673014,Kozhikode,Guruvayurappan College
673570,Kozhikode,Iim Kozhikode Campus
673014,Kozhikode,Iringallur
673616,Kozhikode,Irivallur
673302,Kozhikode,Kadalundi
673586,Kozhikode,Kakkad Pudupadi
673604,Kozhikode,Kakkatampoyil
673611,Kozhikode,Kakkoti
673613,Kozhikode,Kakkur
673003,Kozhikode,Kallai kozhikode
673582,Kozhikode,Kallurutty
673616,Kozhikode,Kannan Kara
673003,Kozhikode,Kannancheri
673661,Kozhikode,Kanni Paramba
673580,Kozhikode,Kannoth
673571,Kozhikode,Karanthur
673010,Kozhikode,Karaparamba
673602,Kozhikode,Karasseri
673572,Kozhikode,Karuvampoyil
673631,Kozhikode,Karuvanthuruthy
673010,Kozhikode,Karuvasseri
673573,Kozhikode,Kattippara
673661,Kozhikode,Kayal
673572,Kozhikode,Kilakkoth
673611,Kozhikode,Kizhakkumuri
673602,Kozhikode,Kodiyathur
673655,Kozhikode,Kolathara
673007,Kozhikode,Kommeri
673571,Kozhikode,Konott
673604,Kozhikode,Koombara
673604,Kozhikode,Koombara Bazar
673580,Kozhikode,Kotancheri tamaracheri
673008,Kozhikode,Kottamparamba
673016,Kozhikode,Kottuli
673572,Kozhikode,Kotuvalli
673573,Kozhikode,Kudathai
673573,Kozhikode,Kudathai Bazar
673604,Kozhikode,Kuliramutty
673602,Kozhikode,Kumaranellur
673003,Kozhikode,Kundungal
673571,Kozhikode,Kunnamangalam Mini Ind. Estate
673571,Kozhikode,Kunnamangalam
673580,Kozhikode,Kuppayakode
673611,Kozhikode,Kuruvattur
673604,Kozhikode,Kutaranni
